,Unnamed: 0,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
298,298,126.0,2020-07-05,756.0,157.0,128.0,92.0,34.0,2.0,,48.0,
299,299,331.0,2021-01-26,1515.0,189.0,183.0,36.0,97.0,0.0,,48.0,
300,300,131.0,2020-07-10,868.0,142.0,98.0,81.0,17.0,,2.0,,
301,301,127.0,2020-07-06,838.0,39.0,78.0,52.0,26.0,,3.0,,
302,302,335.0,2021-01-30,2180.0,197.0,318.0,97.0,221.0,0.0,4.0,,
303,303,60.0,2020-04-30,1161.0,19.0,51.0,40.0,11.0,,,2.0,
304,304,330.0,2021-01-25,2099.0,205.0,266.0,111.0,153.0,2.0,7.0,,
305,305,,2021-03-12,1935.0,,198.0,77.0,121.0,0.0,,,
306,306,80.0,2020-05-20,1042.0,53.0,97.0,83.0,14.0,,,9.0,
307,307,262.0,2020-11-18,786.0,8.0,17.0,8.0,9.0,0.0,0.0,,
308,308,295.0,2020-12-21,1404.0,40.0,121.0,52.0,69.0,0.0,6.0,,
309,309,422.0,2021-04-27,880.0,,27.0,7.0,20.0,0.0,,,
310,310,367.0,2021-03-03,2017.0,,205.0,70.0,135.0,0.0,,,
311,311,51.0,2020-04-21,466.0,7.0,35.0,34.0,1.0,,,0.0,
312,312,340.0,2021-02-04,,,368.0,89.0,279.0,0.0,,,
313,313,411.0,2021-04-16,1575.0,,58.0,21.0,37.0,0.0,,,
314,314,114.0,2020-06-23,1045.0,93.0,64.0,51.0,13.0,,3.0,,
316,316,134.0,2020-07-13,710.0,68.0,63.0,50.0,13.0,,2.0,,
318,318,79.0,2020-05-19,930.0,57.0,73.0,68.0,5.0,,0.0,,
319,319,224.0,2020-10-11,1091.0,99.0,24.0,5.0,18.0,1.0,0.0,,
320,320,425.0,2021-04-30,1280.0,,49.0,14.0,35.0,0.0,,,
321,321,380.0,2021-03-16,1116.0,,66.0,19.0,47.0,0.0,,,
322,322,313.0,2021-01-08,2270.0,181.0,296.0,154.0,142.0,0.0,8.0,,
323,323,192.0,2020-09-09,1317.0,88.0,58.0,36.0,21.0,1.0,1.0,,
324,324,347.0,2021-02-11,2860.0,246.0,393.0,89.0,304.0,0.0,12.0,,
325,325,212.0,2020-09-29,920.0,104.0,26.0,7.0,11.0,8.0,1.0,,
328,328,85.0,2020-05-25,1091.0,59.0,83.0,79.0,4.0,,,15.0,
329,329,101.0,2020-06-10,1205.0,76.0,124.0,109.0,15.0,,,18.0,
330,330,,2020-03-21,,,9.0,,,,,,
331,331,225.0,2020-10-12,639.0,93.0,24.0,8.0,9.0,7.0,1.0,,
332,332,83.0,2020-05-23,934.0,105.0,67.0,49.0,16.0,2.0,0.0,,
333,333,110.0,2020-06-19,1617.0,72.0,164.0,148.0,16.0,,3.0,,
334,334,66.0,2020-05-06,1182.0,23.0,104.0,100.0,4.0,,0.0,,
335,335,327.0,2021-01-22,2270.0,178.0,300.0,126.0,174.0,0.0,9.0,,
336,336,123.0,2020-07-02,1160.0,54.0,129.0,96.0,33.0,,5.0,,
337,337,,2020-03-30,87.0,1.0,20.0,14.0,1.0,,,,
338,338,65.0,2020-05-05,702.0,56.0,58.0,54.0,4.0,,0.0,,
339,339,364.0,2021-02-28,2308.0,,265.0,,169.0,0.0,,,
341,341,407.0,2021-04-12,1287.0,,34.0,11.0,23.0,0.0,,,
342,342,252.0,2020-11-08,797.0,19.0,15.0,4.0,11.0,,0.0,,
344,344,96.0,2020-06-05,1700.0,114.0,134.0,104.0,30.0,,,15.0,
345,345,55.0,2020-04-25,703.0,14.0,69.0,63.0,,,,0.0,
346,346,374.0,2021-03-07,2057.0,,225.0,99.0,126.0,0.0,,,
347,347,374.0,2021-03-10,1390.0,,156.0,63.0,93.0,0.0,,,
348,348,418.0,2021-04-23,1225.0,,47.0,19.0,28.0,0.0,,,
349,349,404.0,2021-04-09,1441.0,,70.0,25.0,45.0,0.0,,,
350,350,299.0,2020-12-25,1364.0,48.0,169.0,71.0,97.0,1.0,5.0,,
351,351,84.0,2020-05-24,889.0,40.0,71.0,66.0,,1.0,,12.0,
352,352,118.0,2020-06-27,1009.0,62.0,105.0,84.0,21.0,,0.0,,
353,353,420.0,2021-04-25,1452.0,,53.0,10.0,43.0,0.0,,,
354,354,273.0,2020-11-29,1029.0,15.0,48.0,22.0,26.0,0.0,1.0,,
355,355,326.0,2021-01-21,2500.0,186.0,267.0,89.0,178.0,0.0,6.0,,
356,356,138.0,2020-07-17,1074.0,174.0,63.0,34.0,28.0,4.0,4.0,,
358,358,135.0,2020-07-14,764.0,66.0,45.0,33.0,10.0,2.0,0.0,,
359,359,,2020-04-18,,,8.0,3.0,5.0,,,,
361,361,115.0,2020-06-24,987.0,26.0,95.0,77.0,15.0,3.0,4.0,,
362,362,408.0,2021-04-13,999.0,,30.0,13.0,17.0,0.0,,,
