,Unnamed: 0,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
378,378,137.0,2020-07-16,1178.0,130.0,112.0,84.0,28.0,,3.0,,
379,379,272.0,2020-11-28,1050.0,18.0,46.0,15.0,81.0,0.0,0.0,,
380,380,136.0,2020-07-15,804.0,25.0,126.0,90.0,34.0,2.0,3.0,,
381,381,379.0,2021-03-15,1330.0,,104.0,35.0,69.0,0.0,,,
383,383,116.0,2020-06-25,985.0,90.0,104.0,75.0,29.0,,,24.0,
385,385,294.0,2020-12-20,1356.0,29.0,88.0,29.0,58.0,1.0,4.0,,
386,386,86.0,2020-05-26,551.0,50.0,31.0,28.0,,,,18.0,
387,387,338.0,2021-02-02,1457.0,218.0,153.0,47.0,106.0,0.0,3.0,,
388,388,301.0,2020-12-27,1200.0,55.0,86.0,36.0,50.0,0.0,1.0,,
390,390,377.0,2021-03-13,1702.0,,157.0,64.0,93.0,0.0,,,
391,391,417.0,2021-04-22,1392.0,,65.0,30.0,35.0,0.0,,,
392,392,57.0,2020-04-27,677.0,1.0,64.0,50.0,,,0.0,,
393,393,403.0,2021-04-08,1421.0,,73.0,29.0,44.0,0.0,,,
394,394,348.0,2021-02-12,,,462.0,201.0,261.0,0.0,,,
395,395,300.0,2020-12-26,1549.0,96.0,154.0,60.0,94.0,0.0,1.0,,
396,396,,2020-03-06,,,,,,,,,
397,397,211.0,2020-09-28,,,,,,,,,
398,398,56.0,2020-04-26,579.0,7.0,57.0,47.0,,1.0,0.0,0.0,
399,399,223.0,2020-10-10,1177.0,62.0,31.0,16.0,13.0,2.0,1.0,,
400,400,314.0,2021-01-09,2555.0,112.0,328.0,120.0,208.0,0.0,18.0,,
401,401,191.0,2020-09-08,788.0,51.0,30.0,18.0,11.0,1.0,1.0,,
402,402,226.0,2020-10-13,924.0,118.0,15.0,,17.0,6.0,0.0,,
403,403,378.0,2021-03-14,1817.0,,166.0,62.0,104.0,0.0,,,
404,404,349.0,2021-02-13,2287.0,272.0,265.0,93.0,172.0,0.0,6.0,,
