,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
139,357.0,21-2-2021,2348.0,227.0,297.0,146.0,151.0,0.0,13.0,,
140,162.0,10-None-2020,1402.0,38.0,137.0,64.0,72.0,,4.0,,
141,151.0,30-7-2020,1547.0,70.0,145.0,116.0,29.0,,4.0,,
142,173.0,21-None-2020,1421.0,115.0,130.0,55.0,73.0,2.0,0.0,,
143,234.0,21-10-2020,1010.0,53.0,25.0,7.0,13.0,5.0,1.0,,
144,216.0,3-10-2020,1337.0,57.0,17.0,7.0,10.0,,0.0,,
145,195.0,12-9-2020,1093.0,28.0,44.0,26.0,17.0,1.0,2.0,,
146,318.0,13-1-2021,1709.0,119.0,198.0,62.0,186.0,,9.0,,
147,153.0,1-None-2020,850.0,46.0,52.0,38.0,14.0,,4.0,,
148,144.0,23-7-2020,1170.0,62.0,145.0,119.0,26.0,,0.0,,
149,183.0,31-None-2020,1090.0,51.0,55.0,34.0,18.0,3.0,0.0,,
150,235.0,22-10-2020,899.0,51.0,24.0,12.0,5.0,7.0,0.0,,
151,187.0,04-9-2020,1346.0,170.0,55.0,31.0,24.0,,2.0,,
152,194.0,11-9-2020,1261.0,143.0,43.0,22.0,17.0,4.0,0.0,,
153,310.0,5-1-2021,,75.0,161.0,45.0,116.0,0.0,4.0,,
154,315.0,10-1-2021,1781.0,90.0,245.0,101.0,144.0,0.0,6.0,,
155,382.0,18-3-2021,1889.0,,174.0,68.0,106.0,0.0,,,
156,141.0,20-7-2020,639.0,54.0,188.0,97.0,41.0,,8.0,,
157,311.0,6-1-2021,1540.0,92.0,192.0,47.0,144.0,,5.0,,
158,190.0,07-9-2020,1052.0,115.0,27.0,17.0,,,1.0,,
159,210.0,27-9-2020,,85.0,40.0,10.0,29.0,1.0,2.0,,
160,406.0,11-4-2021,1810.0,,67.0,23.0,44.0,0.0,,,
161,207.0,24-9-2020,1055.0,100.0,21.0,8.0,12.0,1.0,1.0,,
162,196.0,13-9-2020,1206.0,147.0,43.0,16.0,25.0,2.0,2.0,,
163,215.0,2-10-2020,1218.0,156.0,32.0,5.0,23.0,4.0,1.0,,
164,233.0,20-10-2020,816.0,87.0,27.0,0.0,9.0,18.0,1.0,,
165,317.0,12-1-2021,1062.0,145.0,152.0,50.0,102.0,0.0,11.0,,
166,143.0,22-7-2020,1244.0,64.0,136.0,101.0,38.0,,3.0,,
167,280.0,06-12-2020,925.0,45.0,80.0,34.0,46.0,0.0,1.0,,
168,290.0,16-12-2020,1279.0,106.0,120.0,35.0,85.0,0.0,2.0,,
169,249.0,5-11-2020,740.0,28.0,18.0,10.0,8.0,,0.0,,
170,359.0,23-2-2021,1633.0,266.0,143.0,49.0,94.0,0.0,18.0,,
171,209.0,26-9-2020,1141.0,118.0,30.0,9.0,18.0,3.0,,15.0,
172,405.0,10-4-2021,1515.0,,57.0,19.0,38.0,0.0,,,
173,208.0,25-9-2020,1170.0,92.0,23.0,7.0,15.0,1.0,0.0,,
174,213.0,30-9-2020,,102.0,37.0,15.0,22.0,,1.0,,
175,175.0,23-None-2020,1250.0,122.0,99.0,36.0,62.0,1.0,3.0,,
176,193.0,10-9-2020,933.0,31.0,48.0,27.0,20.0,1.0,0.0,,
177,188.0,05-9-2020,1313.0,128.0,67.0,27.0,40.0,,,39.0,
178,214.0,1¢*-10-2020,,101.0,37.0,19.0,13.0,5.0,0.0,,
179,236.0,23-10-2020,1379.0,56.0,17.0,7.0,6.0,4.0,0.0,,
180,182.0,30-None-2020,1276.0,155.0,100.0,60.0,38.0,2.0,2.0,,
181,316.0,11-1-2021,1927.0,139.0,288.0,114.0,174.0,0.0,4.0,,
182,309.0,4-1-2021,1293.0,100.0,106.0,37.0,69.0,0.0,3.0,,
183,155.0,03-None-2020,946.0,63.0,42.0,36.0,,,2.0,,
184,142.0,21-7-2020,369.0,42.0,37.0,27.0,9.0,1.0,4.0,,
185,312.0,7-1-2021,1775.0,103.0,220.0,86.0,164.0,0.0,5.0,,
186,247.0,3-11-2020,400.0,90.0,3.0,0.0,8.0,,1.0,,
187,189.0,06-9-2020,1166.0,71.0,39.0,15.0,24.0,,0.0,,
188,244.0,31-10-2020,954.0,121.0,11.0,3.0,8.0,,1.0,,
189,119.0,28-6-2020,1179.0,36.0,127.0,104.0,21.0,2.0,3.0,,
190,89.0,29-5-2020,1236.0,52.0,81.0,66.0,13.0,2.0,,20.0,
191,139.0,18-7-2020,790.0,50.0,125.0,76.0,49.0,,3.0,,
192,270.0,26-11-2020,959.0,18.0,33.0,14.0,19.0,0.0,0.0,,
193,424.0,29-4-2021,1309.0,,46.0,17.0,29.0,0.0,,,
194,398.0,03-4-2021,1635.0,,64.0,21.0,43.0,0.0,,,
195,274.0,30-11-2020,722.0,10.0,14.0,5.0,9.0,0.0,0.0,,
196,269.0,25-11-2020,748.0,13.0,19.0,11.0,8.0,0.0,0.0,,
197,303.0,29-12-2020,984.0,65.0,78.0,26.0,52.0,0.0,0.0,,
198,88.0,28-5-2020,991.0,100.0,95.0,86.0,9.0,,,19.0,
199,400.0,05-4-2021,1421.0,,69.0,29.0,40.0,0.0,,,
200,59.0,29-4-2020,800.0,19.0,59.0,51.0,8.0,,,2.0,
201,257.0,13-11-2020,649.0,14.0,11.0,,8.0,0.0,0.0,,
202,281.0,07-12-2020,1231.0,30.0,76.0,31.0,44.0,1.0,2.0,,
203,291.0,17-12-2020,,35.0,115.0,52.0,63.0,0.0,8.0,,
204,174.0,22-None-2020,1552.0,168.0,161.0,100.0,61.0,,4.0,,
205,156.0,4-None-2020,1078.0,19.0,46.0,19.0,27.0,,3.0,,
206,,,95.0,10.0,4.0,3.0,1.0,,,,
207,,,144.0,7.0,11.0,10.0,1.0,,,,
208,358.0,22-2-2021,1931.0,294.0,172.0,45.0,127.0,0.0,6.0,,
209,248.0,04-11-2020,769.0,96.0,10.0,5.0,5.0,,0.0,,
210,75.0,15-5-2020,1128.0,48.0,121.0,119.0,2.0,,0.0,,
211,413.0,18-4-2021,1536.0,,51.0,11.0,40.0,0.0,,,
212,107.0,16-6-2020,999.0,101.0,74.0,64.0,10.0,,6.0,,
213,360.0,24-2-2021,2040.0,,211.0,75.0,136.0,0.0,,,
214,69.0,09-5-2020,848.0,32.0,83.0,69.0,14.0,,0.0,,
215,154.0,2-None-2020,915.0,16.0,60.0,48.0,12.0,,0.0,,
216,,,227.0,7.0,15.0,14.0,1.0,,,,
217,106.0,15-6-2020,1254.0,80.0,83.0,64.0,19.0,,4.0,,
218,176.0,24-None-2020,812.0,140.0,64.0,36.0,28.0,,3.0,,
219,,16-2-2021,1555.0,230.0,201.0,80.0,121.0,0.0,6.0,,
220,263.0,19-11-2020,800.0,7.0,12.0,4.0,8.0,0.0,0.0,,
221,94.0,03-6-2020,1849.0,109.0,96.0,80.0,,,,17.0,
222,121.0,30-6-2020,1274.0,90.0,95.0,79.0,11.0,5.0,4.0,,
223,421.0,26-4-2021,1194.0,,31.0,10.0,21.0,0.0,,,
224,,19-3-2020,22.0,3.0,2.0,,,2.0,,,
225,381.0,17-3-2021,1892.0,,192.0,56.0,136.0,0.0,,,
226,168.0,16-None-2020,1317.0,40.0,130.0,67.0,,,2.0,,
227,112.0,21-6-2020,978.0,60.0,105.0,94.0,11.0,,2.0,,
228,63.0,3-5-2020,810.0,4.0,67.0,62.0,5.0,,,4.0,
229,332.0,27-1-2021,1698.0,2855.0,280.0,87.0,193.0,0.0,9.0,,
230,132.0,11-7-2020,790.0,70.0,132.0,91.0,41.0,,0.0,,
231,125.0,04-7-2020,959.0,47.0,108.0,86.0,22.0,,4.0,,
232,98.0,07-6-2020,1266.0,76.0,79.0,68.0,11.0,,,18.0,
233,329.0,24-1-2021,2448.0,192.0,268.0,102.0,166.0,0.0,6.0,,
234,,07-7-2020,693.0,114.0,69.0,43.0,23.0,3.0,0.0,,
235,336.0,31-1-2021,2083.0,212.0,310.0,158.0,152.0,0.0,7.0,,
236,113.0,22-6-2020,1040.0,34.0,82.0,65.0,13.0,4.0,2.0,,
237,133.0,12-7-2020,1108.0,68.0,121.0,96.0,24.0,1.0,3.0,,
238,,20-3-2020,56.0,,9.0,5.0,,,,,
239,,,199.0,,6.0,6.0,,,,,
240,393.0,29-3-2021,1139.0,,46.0,11.0,35.0,0.0,,,
241,253.0,Un-None-Ue,544.0,18.0,3.0,2.0,,,0.0,,
242,342.0,06-2-2021,,219.0,383.0,120.0,263.0,0.0,9.0,,
243,297.0,23-12-2020,1439.0,65.0,98.0,35.0,58.0,5.0,6.0,,
244,92.0,01-6-2020,1820.0,57.0,94.0,84.0,10.0,,,14.0,
245,53.0,23-4-2020,,,37.0,29.0,8.0,,,,
246,412.0,17-4-2021,1672.0,,67.0,28.0,39.0,0.0,,,
247,,31-3-2020,97.0,12.0,13.0,,,1.0,,,
248,,24-3-2020,59.0,,7.0,4.0,,,,,
249,242.0,29-10-2020,689.0,95.0,11.0,5.0,6.0,,0.0,,
